#;R mean;G mean;B mean;H° mean;S% mean;V% mean;L mean;C mean;Color 1 HEX;Color 1%;Color 1 Name;Color 2 HEX;Color 2 %;Color 2 Name;Color 3 HEX;Color 3 %;Color 3 Name;Color 4 HEX;Color 4 %;Color 4 Name;Color 5 HEX;Color 5 %;Color 5 Name
197;126,1;125,7;127;169,7;7,2;50,4;52,1;1,9;#8F8F92;37,53;grey;#A0A0A0;29,76;light grey;#7A7A7E;17,1;grey;#060605;12,93;very dark yellow;#393324;2,16;dark orange
198;121,2;140,9;160,2;209,1;28,1;62,8;56,7;12,9;#7990A8;23,74;blue-cyan;#C4DCF0;20,74;pale blue-cyan;#9BB1C5;19,17;pale blue-cyan;#5C7287;14,2;blue-cyan;#121822;11,55;very dark blue-cyan
199;115,4;117,8;122,3;163,7;20,7;50,8;48,5;8,1;#ABBBC5;22,85;pale blue-cyan;#50494A;22,32;dark red;#808A92;19,7;pale blue-cyan;#1A1E2A;17,14;very dark blue;#8C7A6E;14,88;pale red-orange
200;135,4;143,1;148,8;182,6;13,3;59,5;58,2;7;#CCD6E4;29,51;pale blue-cyan;#565C5A;22,42;dark grey;#777E7F;18,29;grey;#9DA4A9;16,65;light grey;#242722;7,64;very dark yellow-green
201;100,3;113,3;93,7;106,8;39,4;48,3;45,4;20,9;#242D1C;26,68;very dark yellow-green;#68695D;20,46;pale yellow;#87B1D7;18,37;light blue-cyan;#535C2D;16,88;dark yellow;#B3B18B;11,51;pale yellow-orange
202;135,5;133,9;135,1;149,2;8,4;54,5;55;3;#C7C8CA;29,07;very light grey;#878789;17,8;grey;#ABACB1;16,54;light grey;#646060;13,96;dark grey;#403935;13,26;dark red-orange
203;121,4;141,2;161,8;182,4;31,8;65,3;57,6;16,6;#A8BBC8;23,91;pale blue-cyan;#8D7D73;17,52;pale red-orange;#8EB4D9;17,48;light blue-cyan;#2A4364;15,27;blue-cyan;#4C6C90;14,25;blue-cyan
204;115,6;118,9;124,7;176,3;20,1;51,5;48,5;9,3;#2E2A29;26,11;very dark red;#4F515E;25,73;dark blue;#989DA1;14,98;light grey;#E9F7FC;12,9;white;#B7CEED;10,16;pale blue-cyan
205;117,7;125,3;137,5;217;14,9;53,9;51,2;7,5;#B5BDCA;27,82;pale blue-cyan;#222528;16,77;very dark blue-cyan;#9BA5B5;16,07;pale blue-cyan;#798597;15,27;pale blue-cyan;#3C4048;13,39;dark blue-cyan
206;131,7;132,2;130;138,5;13,8;54,1;54,1;6;#878A8F;23,43;grey;#B1B2B4;23,23;light grey;#DBDCDF;14,54;very light grey;#444034;14,54;dark yellow-orange;#272620;13,61;very dark yellow-orange
207;87,7;105,2;110,9;156,8;36,6;46,2;42,1;12,3;#10160C;25,59;very dark yellow-green;#7A99B2;17,1;blue-cyan;#547084;16,47;blue-cyan;#A7C1D5;14,29;pale blue-cyan;#354A50;14,09;dark cyan
208;117;126,4;134,2;131,1;34,4;60,1;52,1;20,4;#85B1E7;30,69;light blue-cyan;#84754F;20,43;orange;#2A2D32;14,04;very dark blue-cyan;#A39784;12,68;pale orange;#615642;12,63;orange
209;127,7;131,5;133,4;105,5;17,1;56,1;53,7;9,4;#5F5C59;22,35;dark grey;#DCDBD8;21,72;very light grey;#9C9891;20,06;light grey;#2C2D2C;18,77;very dark grey;#78A7E3;11,29;blue-cyan
210;90,5;107,5;126,5;148,2;44,2;55;44,4;22,4;#4E86C9;27,11;blue-cyan;#809FC4;20,22;blue-cyan;#1A1810;18,05;very dark yellow-orange;#634E2F;16,98;orange;#565C69;11,38;pale blue-cyan
211;134,2;148,6;163,7;157,5;18,9;65;60;11,3;#B7D8F6;25,56;light blue-cyan;#8B8C8B;21,77;grey;#536271;16,34;blue-cyan;#292B2D;14,81;very dark blue-cyan;#CBCBC8;11,78;very light grey
212;106,3;83,8;46,6;135,2;55,5;42,5;35,3;27,9;#1C141B;45,58;very dark violet;#4E3420;16,08;dark red-orange;#F8EC4F;12,9;yellow-orange;#DC9533;10,27;vivid orange;#8E551E;9,82;red-orange
213;50,7;85,8;112,4;197,8;54,1;45;34,1;21,3;#1B2C4E;28,63;dark blue-cyan;#191A21;25,94;very dark blue;#3490C4;17,54;blue-cyan;#76B5D4;14,27;light blue-cyan;#3B677E;11,49;blue-cyan
214;96,4;116,9;122,6;135,7;35;52,7;47,5;17;#516F88;20,35;blue-cyan;#488CC2;18,66;blue-cyan;#868773;18,39;pale yellow;#525142;17,68;dark yellow-orange;#BAC2AE;12,65;pale yellow-green
215;82,9;114,9;152,3;203,7;48,9;60,1;46,7;24,4;#142A3E;23,23;dark blue-cyan;#82B0DD;20,59;light blue-cyan;#5488D6;20,14;blue-cyan;#395F88;15,9;blue-cyan;#5C626F;12,04;pale blue-cyan
216;113,5;111,4;111,3;149,2;28,6;49,7;45,6;11,7;#1B171D;24,29;very dark blue-violet;#544133;21,8;dark red-orange;#E1EFF1;17,94;white;#9CAEC1;13,36;pale blue-cyan;#596074;12,34;pale blue-cyan
217;35,7;50,1;70,9;199,1;52;28,3;20,3;15,3;#3A567B;28,24;blue-cyan;#1C2E48;24,74;dark blue-cyan;#101B2D;21,24;very dark blue-cyan;#0D0E12;17,52;very dark blue;#3C3533;6,87;dark red
218;115,8;105,5;88,5;104,2;35,5;47,4;43,9;15,6;#212326;28,32;very dark blue-cyan;#57452C;24,15;dark orange;#D2D4D5;18,1;very light grey;#827D78;11,5;grey;#C0A678;9,91;orange
219;127,4;128,1;130,9;153,7;17,8;53,8;51,9;7;#CFD6E4;31,01;pale blue-cyan;#1F1C16;24,06;very dark orange;#ACAAAC;16,07;light grey;#82848E;12,34;pale blue;#3A3624;9,84;dark yellow-orange
220;105,6;105,5;98,3;101,4;25,6;42,3;42,8;5,5;#1B1A09;27,61;very dark yellow-orange;#434037;19,63;dark orange;#B1B3B2;19,07;light grey;#8E8F8D;13,66;grey;#646560;11,29;dark grey
221;102,7;120,2;145,8;164,2;37,1;60,7;49,9;22,8;#567EC2;25,05;blue-cyan;#444641;22,82;dark grey;#51667E;17,7;blue-cyan;#88ADE6;15,83;light blue-cyan;#84725A;11,12;orange
222;91,8;119,9;148,7;201;37,9;58,8;49;19,6;#4C7BA7;28,81;blue-cyan;#72A3D3;21,84;blue-cyan;#2A3F5B;17,67;dark blue-cyan;#7B7B7E;13,43;grey;#515659;13,19;dark blue-cyan
223;120,9;117,1;114,3;110,5;21,6;50,6;48,2;8,8;#232121;23,72;very dark grey;#DCD8D1;21,91;very light grey;#4E4640;20,66;dark red-orange;#777676;17,74;grey;#9FABBA;11,99;pale blue-cyan
